Freq	PhiChirp	PhiRC	AChirp	ARC
1	146.79	146.79	1.00	1.00
2	-137.05	141.54	1.00	1.00
3	74.42	-130.97	1.00	1.00
4	5.25	68.66	1.00	1.00
5	-0.00	9.92	1.00	1.00
6	0.05	6.02	1.00	1.00
7	72.09	4.24	1.00	1.00
8	-143.93	64.61	1.00	1.00
9	72.00	-137.23	1.00	1.00
10	0.00	60.07	1.00	1.00
11	-0.00	-2.01	1.00	1.00
12	72.00	-2.21	1.00	1.00
13	-144.00	69.60	1.00	1.00
14	72.00	-146.60	1.00	1.00
15	-0.00	69.20	1.00	1.00
16	-0.00	-3.00	1.00	1.00
17	72.00	-3.19	1.00	1.00
18	-144.00	68.61	1.00	1.00
19	72.00	-147.59	1.00	1.00
20	0.00	68.21	1.00	1.00
21	-0.00	-3.99	1.00	1.00
22	72.00	-4.19	1.00	1.00
23	-144.00	67.62	1.00	1.00
24	72.00	-148.58	1.00	1.00
25	0.00	67.22	1.00	1.00
26	-0.00	-4.98	1.00	1.00
27	72.00	-5.17	1.00	1.00
28	-144.00	66.63	1.00	1.00
29	72.00	-149.57	1.00	1.00
30	0.00	66.24	1.00	1.00
31	-0.00	-5.96	1.00	1.00
32	72.00	-6.16	1.00	1.00
33	-144.00	65.65	1.00	1.00
34	72.00	-150.55	1.00	0.99
35	-0.00	65.26	1.00	0.99
36	-0.00	-6.94	1.00	0.99
37	72.00	-7.14	1.00	0.99
38	-144.00	64.67	1.00	0.99
39	72.00	-151.52	1.00	0.99
40	0.00	64.28	1.00	0.99
41	-0.00	-7.91	1.00	0.99
42	72.00	-8.11	1.00	0.99
43	-144.00	63.70	1.00	0.99
44	72.00	-152.50	1.00	0.99
45	0.00	63.31	1.00	0.99
46	-0.00	-8.88	1.00	0.99
47	72.00	-9.08	1.00	0.99
48	-144.00	62.73	1.00	0.99
49	72.00	-153.46	1.00	0.99
50	0.00	62.35	1.00	0.99
51	-0.00	-9.84	1.00	0.99
52	72.00	-9.87	1.00	0.99
53	-144.00	61.77	1.00	0.99
54	72.00	-154.42	1.00	0.98
55	0.00	61.28	1.00	0.98
56	-0.00	-10.92	1.00	0.98
57	72.00	-11.18	1.00	0.98
58	-144.00	60.73	1.00	0.98
59	72.00	-155.29	1.00	0.98
60	-0.00	60.44	1.00	0.98
61	-0.00	-11.85	1.00	0.98
62	72.00	-12.05	1.00	0.98
63	-144.00	59.93	1.00	0.98
64	72.00	-156.38	1.00	0.98
65	-0.00	59.77	1.00	0.98
66	-0.00	-12.44	1.00	0.98
67	72.00	-12.77	1.00	0.98
68	-144.00	58.94	1.00	0.98
69	72.00	-157.29	1.00	0.97
70	-0.00	58.38	1.00	0.97
71	-0.00	-13.74	1.00	0.97
72	72.00	-13.82	1.00	0.97
73	-144.00	57.99	1.00	0.97
74	72.00	-158.19	1.00	0.97
75	0.00	57.62	1.00	0.97
76	-0.00	-14.57	1.00	0.97
77	72.00	-14.75	1.00	0.97
78	-144.00	57.06	1.00	0.97
79	72.00	-159.12	1.00	0.97
80	0.00	56.69	1.00	0.97
81	-0.00	-15.49	1.00	0.96
82	72.00	-15.67	1.00	0.96
83	-144.00	56.14	1.00	0.96
84	72.00	-160.04	1.00	0.96
85	0.00	55.78	1.00	0.96
86	-0.00	-16.40	1.00	0.96
87	72.00	-16.58	1.00	0.96
88	-144.00	55.23	1.00	0.96
89	72.00	-160.95	1.00	0.96
90	0.00	54.87	1.00	0.96
91	-0.00	-17.31	1.00	0.96
92	72.00	-17.49	1.00	0.95
93	-144.00	54.33	1.00	0.95
94	72.00	-161.85	1.00	0.95
95	0.00	53.97	1.00	0.95
96	-0.00	-18.21	1.00	0.95
97	72.00	-18.38	1.00	0.95
98	-144.00	53.44	1.00	0.95
99	72.00	-162.74	1.00	0.95
100	0.00	53.09	1.00	0.95
101	-0.00	-19.09	1.00	0.95
102	72.00	-19.27	1.00	0.95
103	-144.00	52.56	1.00	0.94
104	72.00	-163.62	1.00	0.94
105	0.00	52.21	1.00	0.94
106	-0.00	-19.97	1.00	0.94
107	72.00	-20.14	1.00	0.94
108	-144.00	51.68	1.00	0.94
109	72.00	-164.49	1.00	0.94
110	0.00	51.34	1.00	0.94
111	-0.00	-20.88	1.00	0.94
112	72.00	-20.99	1.00	0.94
113	-144.00	50.89	1.00	0.93
114	72.00	-165.42	1.00	0.93
115	0.00	50.47	1.00	0.93
116	-0.00	-21.67	1.00	0.93
117	72.00	-21.85	1.00	0.93
118	-144.00	49.86	1.00	0.93
119	72.00	-166.14	1.00	0.93
120	0.00	49.58	1.00	0.93
121	-0.00	-22.59	1.00	0.93
122	72.00	-22.77	1.00	0.92
123	-144.00	49.06	1.00	0.92
124	72.00	-166.97	1.00	0.92
125	0.00	48.84	1.00	0.92
126	-0.00	-23.41	1.00	0.92
127	72.00	-23.54	1.00	0.92
128	-144.00	48.36	1.00	0.92
129	72.00	-167.97	1.00	0.92
130	0.00	47.95	1.00	0.92
131	-0.00	-24.14	1.00	0.91
132	72.00	-24.38	1.00	0.91
133	-144.00	47.46	1.00	0.91
134	72.00	-168.71	1.00	0.91
135	0.00	47.13	1.00	0.91
136	-0.00	-25.03	1.00	0.91
137	72.00	-25.19	1.00	0.91
138	-144.00	46.64	1.00	0.91
139	72.00	-169.52	1.00	0.90
140	0.00	46.32	1.00	0.90
141	-0.00	-25.84	1.00	0.90
142	72.00	-26.00	1.00	0.90
143	-144.00	45.84	1.00	0.90
144	72.00	-170.32	1.00	0.90
145	0.00	45.52	1.00	0.90
146	-0.00	-26.64	1.00	0.90
147	72.00	-26.79	1.00	0.90
148	-144.00	45.05	1.00	0.89
149	72.00	-171.11	1.00	0.89
150	0.00	44.73	1.00	0.89
151	-0.00	-27.42	1.00	0.89
152	72.00	-27.58	1.00	0.89
153	-144.00	44.26	1.00	0.89
154	72.00	-171.89	1.00	0.89
155	0.00	43.95	1.00	0.89
156	-0.00	-28.20	1.00	0.88
157	72.00	-28.35	1.00	0.88
158	-144.00	43.49	1.00	0.88
159	72.00	-172.66	1.00	0.88
160	0.00	43.19	1.00	0.88
161	-0.00	-28.97	1.00	0.88
162	72.00	-29.12	1.00	0.88
163	-144.00	42.73	1.00	0.88
164	72.00	-173.42	1.00	0.87
165	0.00	42.43	1.00	0.87
166	-0.00	-29.72	1.00	0.87
167	72.00	-29.87	1.00	0.87
168	-144.00	41.98	1.00	0.87
169	72.00	-174.17	1.00	0.87
170	0.00	41.68	1.00	0.87
171	-0.00	-30.47	1.00	0.87
172	72.00	-30.61	1.00	0.86
173	-144.00	41.25	1.00	0.86
174	72.00	-174.91	1.00	0.86
175	0.00	40.94	1.00	0.86
176	-0.00	-31.20	1.00	0.86
177	72.00	-31.35	1.00	0.86
178	-144.00	40.50	1.00	0.86
179	72.00	-175.63	1.00	0.86
180	0.00	40.22	1.00	0.85
181	-0.00	-31.93	1.00	0.85
182	72.00	-32.07	1.00	0.85
183	-144.00	39.79	1.00	0.85
184	72.00	-176.34	1.00	0.85
185	0.00	39.52	1.00	0.85
186	-0.00	-32.64	1.00	0.85
187	72.00	-32.77	1.00	0.85
188	-144.00	39.09	1.00	0.84
189	72.00	-177.07	1.00	0.84
190	0.00	38.80	1.00	0.84
191	-0.00	-33.33	1.00	0.84
192	72.00	-33.48	1.00	0.84
193	-144.00	38.38	1.00	0.84
194	72.00	-177.75	1.00	0.84
195	0.00	38.11	1.00	0.84
196	-0.00	-34.03	1.00	0.83
197	72.00	-34.17	1.00	0.83
198	-144.00	37.70	1.00	0.83
199	72.00	-178.44	1.00	0.83
200	0.00	37.42	1.00	0.83
201	-0.00	-34.71	1.00	0.83
202	72.00	-34.85	1.00	0.83
203	-144.00	37.02	1.00	0.83
204	72.00	-179.11	1.00	0.82
205	0.00	36.75	1.00	0.82
206	-0.00	-35.38	1.00	0.82
207	72.00	-35.51	1.00	0.82
208	-144.00	36.35	1.00	0.82
209	72.00	-179.78	1.00	0.82
210	0.00	36.09	1.00	0.82
211	0.00	-36.04	1.00	0.81
212	72.00	-36.17	1.00	0.81
213	-144.00	35.70	1.00	0.81
214	72.00	-180.43	1.00	0.81
215	0.00	35.44	1.00	0.81
216	0.00	-36.69	1.00	0.81
217	72.00	-36.82	1.00	0.81
218	-144.00	35.05	1.00	0.81
219	72.00	-181.08	1.00	0.80
220	0.00	34.80	1.00	0.80
221	0.00	-37.33	1.00	0.80
222	72.00	-37.46	1.00	0.80
223	-144.00	34.41	1.00	0.80
224	72.00	-181.71	1.00	0.80
225	0.00	34.16	1.00	0.80
226	0.00	-37.96	1.00	0.80
227	72.00	-38.09	1.00	0.79
228	-144.00	33.79	1.00	0.79
229	72.00	-182.34	1.00	0.79
230	0.00	33.54	1.00	0.79
231	0.00	-38.58	1.00	0.79
232	72.00	-38.71	1.00	0.79
233	-144.00	33.14	1.00	0.79
234	72.00	-182.92	1.00	0.79
235	0.00	32.92	1.00	0.78
236	0.00	-39.26	1.00	0.78
237	72.00	-39.35	1.00	0.78
238	-144.00	32.60	1.00	0.78
239	72.00	-183.58	1.00	0.78
240	0.00	32.35	1.00	0.78
241	0.00	-39.79	1.00	0.78
242	72.00	-39.91	1.00	0.78
243	-144.00	32.00	1.00	0.77
244	72.00	-184.20	1.00	0.77
245	0.00	31.76	1.00	0.77
246	0.00	-40.30	1.00	0.77
247	72.00	-40.48	1.00	0.77
248	-144.00	31.35	1.00	0.77
