Freq	PhiChirp	PhiRC	AChirp	ARC
1	146.79	146.79	1.00	1.00
2	-137.05	141.60	1.00	1.00
3	74.42	-130.55	1.00	1.00
4	5.25	69.23	1.00	1.00
5	-0.00	10.66	1.00	1.00
6	0.05	7.06	1.00	1.00
7	72.09	5.32	1.00	1.00
8	-143.93	65.80	1.00	1.00
9	72.00	-135.58	1.00	1.00
10	0.00	61.99	1.00	1.00
11	-0.00	-14.12	1.00	1.00
12	72.00	-0.10	1.00	1.00
13	-144.00	71.90	1.00	1.00
14	72.00	-144.12	1.00	1.00
15	-0.00	71.87	1.00	1.00
16	-0.00	-0.14	1.00	1.00
17	72.00	-0.14	1.00	1.00
18	-144.00	71.85	1.00	1.00
19	72.00	-144.16	1.00	1.00
20	0.00	71.84	1.00	1.00
21	-0.00	-0.18	1.00	1.00
22	72.00	-0.19	1.00	1.00
23	-144.00	71.80	1.00	1.00
24	72.00	-144.21	1.00	1.00
25	0.00	71.80	1.00	1.00
26	-0.00	-0.22	1.00	1.00
27	72.00	-0.23	1.00	1.00
28	-144.00	71.76	1.00	1.00
29	72.00	-144.24	1.00	1.00
30	0.00	71.74	1.00	1.00
31	-0.00	-0.25	1.00	1.00
32	72.00	-0.27	1.00	1.00
33	-144.00	71.72	1.00	1.00
34	72.00	-144.29	1.00	1.00
35	-0.00	71.70	1.00	1.00
36	-0.00	-0.31	1.00	1.00
37	72.00	-0.32	1.00	1.00
38	-144.00	71.68	1.00	1.00
39	72.00	-144.33	1.00	1.00
40	0.00	71.65	1.00	1.00
41	-0.00	-0.35	1.00	1.00
42	72.00	-0.36	1.00	1.00
43	-144.00	71.64	1.00	1.00
44	72.00	-144.37	1.00	1.00
45	0.00	71.61	1.00	1.00
46	-0.00	-0.39	1.00	1.00
47	72.00	-0.41	1.00	1.00
48	-144.00	71.59	1.00	1.00
49	72.00	-144.42	1.00	1.00
50	0.00	71.56	1.00	1.00
51	-0.00	-0.43	1.00	1.00
52	72.00	-0.45	1.00	1.00
53	-144.00	71.54	1.00	1.00
54	72.00	-144.46	1.00	1.00
55	0.00	71.53	1.00	1.00
56	-0.00	-0.48	1.00	1.00
57	72.00	-0.49	1.00	1.00
58	-144.00	71.50	1.00	1.00
59	72.00	-144.51	1.00	1.00
60	-0.00	71.49	1.00	1.00
61	-0.00	-0.52	1.00	1.00
62	72.00	-0.53	1.00	1.00
63	-144.00	71.46	1.00	1.00
64	72.00	-144.55	1.00	1.00
65	-0.00	71.44	1.00	1.00
66	-0.00	-0.57	1.00	1.00
67	72.00	-0.58	1.00	1.00
68	-144.00	71.41	1.00	1.00
69	72.00	-144.59	1.00	1.00
70	-0.00	71.40	1.00	1.00
71	-0.00	-0.61	1.00	1.00
72	72.00	-0.62	1.00	1.00
73	-144.00	71.37	1.00	1.00
74	72.00	-144.64	1.00	1.00
75	0.00	71.35	1.00	1.00
76	-0.00	-0.66	1.00	1.00
77	72.00	-0.66	1.00	1.00
78	-144.00	71.33	1.00	1.00
79	72.00	-144.68	1.00	1.00
80	0.00	71.31	1.00	1.00
81	-0.00	-0.70	1.00	1.00
82	72.00	-0.71	1.00	1.00
83	-144.00	71.28	1.00	1.00
84	72.00	-144.73	1.00	1.00
85	0.00	71.26	1.00	1.00
86	-0.00	-0.74	1.00	1.00
87	72.00	-0.75	1.00	1.00
88	-144.00	71.24	1.00	1.00
89	72.00	-144.77	1.00	1.00
90	0.00	71.22	1.00	1.00
91	-0.00	-0.79	1.00	1.00
92	72.00	-0.79	1.00	1.00
93	-144.00	71.20	1.00	1.00
94	72.00	-144.81	1.00	1.00
95	0.00	71.18	1.00	1.00
96	-0.00	-0.83	1.00	1.00
97	72.00	-0.84	1.00	1.00
98	-144.00	71.15	1.00	1.00
99	72.00	-144.86	1.00	1.00
100	0.00	71.13	1.00	1.00
101	-0.00	-0.87	1.00	1.00
102	72.00	-0.88	1.00	1.00
103	-144.00	71.11	1.00	1.00
104	72.00	-144.90	1.00	1.00
105	0.00	71.09	1.00	1.00
106	-0.00	-0.92	1.00	1.00
107	72.00	-0.93	1.00	1.00
108	-144.00	71.07	1.00	1.00
109	72.00	-144.94	1.00	1.00
110	0.00	71.05	1.00	1.00
111	-0.00	-0.96	1.00	1.00
112	72.00	-0.97	1.00	1.00
113	-144.00	71.02	1.00	1.00
114	72.00	-144.99	1.00	1.00
115	0.00	71.00	1.00	1.00
116	-0.00	-1.01	1.00	1.00
