Freq	dPhi	Gain
1	0.00	0.00
1	-0.17	-0.00
2	-0.17	-0.00
3	-0.20	-0.00
4	0.10	0.00
5	-0.29	-0.00
6	-0.29	-0.00
7	-0.35	-0.00
8	-0.62	-0.00
9	-0.59	-0.00
10	10.05	-0.00
11	-0.59	-0.00
12	-0.58	-0.00
13	-0.85	-0.00
14	-1.04	-0.00
15	-0.74	-0.00
16	-1.00	-0.00
17	-0.88	-0.00
18	-1.01	-0.00
19	-1.12	-0.00
20	-1.47	-0.00
21	-1.66	-0.00
22	-1.38	-0.01
23	-0.98	-0.00
24	-1.28	-0.01
25	-1.42	-0.01
26	-1.99	-0.01
27	8.50	-0.01
28	-2.08	-0.01
29	-1.89	-0.01
30	-1.90	-0.01
31	-2.07	-0.01
32	-2.07	-0.01
33	-2.21	-0.01
34	-2.24	-0.01
35	-2.40	-0.01
36	-2.41	-0.01
37	-2.57	-0.01
38	-2.43	-0.01
39	-2.75	-0.02
40	-2.92	-0.02
41	-2.79	-0.02
42	-3.09	-0.02
43	-3.27	-0.02
44	-3.36	-0.02
45	-3.29	-0.02
46	-3.54	-0.03
47	-3.77	-0.03
48	-3.94	-0.03
49	-4.13	-0.03
50	-4.29	-0.03
51	-4.45	-0.04
52	-4.62	-0.04
53	-4.80	-0.04
54	-4.97	-0.04
55	-5.15	-0.05
56	-5.31	-0.05
57	-5.48	-0.05
58	-5.65	-0.06
59	-5.81	-0.06
60	-5.99	-0.06
61	-6.15	-0.06
62	-6.32	-0.07
63	-6.49	-0.07
64	-6.66	-0.07
65	-6.83	-0.08
66	-6.99	-0.08
67	-7.16	-0.09
68	-7.33	-0.09
69	-7.49	-0.09
70	-7.66	-0.10
71	-7.83	-0.10
72	-8.00	-0.11
73	-8.17	-0.11
74	-8.33	-0.11
75	-8.51	-0.12
76	-8.49	-0.13
77	-8.88	-0.13
78	-8.95	-0.13
79	-9.27	-0.13
80	-9.58	-0.13
81	-9.72	-0.14
82	-9.62	-0.16
83	-9.83	-0.15
84	-9.91	-0.18
85	-10.17	-0.18
86	-10.33	-0.18
87	-10.32	-0.17
88	-10.85	-0.19
89	-10.69	-0.18
90	-10.65	-0.19
91	-11.07	-0.19
92	-11.43	-0.21
93	-11.30	-0.21
94	-11.69	-0.22
95	-11.79	-0.22
96	-11.94	-0.23
97	-12.11	-0.23
98	-12.26	-0.24
99	-12.42	-0.25
100	-12.59	-0.25
101	-12.75	-0.26
102	-12.91	-0.26
103	-13.07	-0.27
104	-13.23	-0.28
105	-13.39	-0.28
106	-13.54	-0.29
107	-13.70	-0.30
108	-13.86	-0.30
109	-14.02	-0.31
110	-14.18	-0.32
111	-14.34	-0.33
112	-14.50	-0.33
113	-14.65	-0.34
114	-14.81	-0.35
115	-14.97	-0.35
116	-15.12	-0.36
117	-15.28	-0.37
118	-15.43	-0.38
119	-15.59	-0.38
120	-15.75	-0.39
121	-15.90	-0.40
122	-16.06	-0.41
123	-16.21	-0.41
124	-16.36	-0.42
125	-16.51	-0.43
126	-16.67	-0.44
127	-16.82	-0.45
128	-16.97	-0.45
129	-17.13	-0.46
130	-17.28	-0.47
131	-17.43	-0.48
132	-17.58	-0.49
133	-17.73	-0.49
134	-17.89	-0.50
135	-18.03	-0.51
136	-18.19	-0.52
137	-18.41	-0.53
138	-18.42	-0.54
139	-18.61	-0.55
140	-18.85	-0.55
141	-18.89	-0.57
142	-19.00	-0.58
143	-19.29	-0.58
144	-19.36	-0.58
145	-19.46	-0.60
146	-19.61	-0.60
147	-19.86	-0.62
148	-19.90	-0.63
149	-20.26	-0.64
150	-20.31	-0.65
151	-20.47	-0.66
152	-20.50	-0.66
153	-20.75	-0.67
154	-20.73	-0.68
155	-20.84	-0.69
156	-21.12	-0.70
157	-21.26	-0.71
158	-21.40	-0.72
159	-21.55	-0.73
160	-21.69	-0.74
161	-21.83	-0.75
162	-21.97	-0.76
163	-22.11	-0.77
164	-22.25	-0.78
165	-22.39	-0.79
166	-22.53	-0.80
167	-22.67	-0.81
168	-22.81	-0.82
169	-22.95	-0.83
170	-23.09	-0.84
171	-23.23	-0.85
172	-23.36	-0.86
173	-23.50	-0.87
174	-23.64	-0.88
175	-23.78	-0.89
176	-23.91	-0.90
177	-24.05	-0.91
178	-24.19	-0.93
179	-24.32	-0.94
180	-24.46	-0.95
181	-24.59	-0.96
182	-24.72	-0.97
183	-24.86	-0.98
184	-24.99	-0.99
185	-25.13	-1.00
186	-25.26	-1.01
187	-25.39	-1.02
188	-25.52	-1.03
189	-25.65	-1.04
190	-25.78	-1.06
191	-25.92	-1.07
192	-26.05	-1.08
193	-26.18	-1.09
194	-26.31	-1.10
195	-26.44	-1.11
196	-26.56	-1.12
197	-26.68	-1.13
198	-26.83	-1.14
199	-26.95	-1.16
200	-27.07	-1.17
201	-27.21	-1.18
202	-27.34	-1.19
203	-27.45	-1.20
204	-27.58	-1.21
205	-27.72	-1.23
206	-27.84	-1.24
207	-27.95	-1.25
208	-28.09	-1.26
209	-28.20	-1.27
210	-28.31	-1.28
211	-28.45	-1.29
212	-28.59	-1.31
213	-28.69	-1.32
214	-28.83	-1.33
215	-28.95	-1.34
216	-29.07	-1.35
217	-29.19	-1.37
218	-29.31	-1.38
219	-29.43	-1.39
220	-29.55	-1.40
221	-29.67	-1.41
222	-29.79	-1.43
223	-29.91	-1.44
224	-30.03	-1.45
225	-30.15	-1.46
226	-30.27	-1.47
227	-30.38	-1.49
228	-30.50	-1.50
229	-30.62	-1.51
230	-30.73	-1.52
231	-30.85	-1.54
232	-30.97	-1.55
233	-31.08	-1.56
234	-31.20	-1.57
235	-31.31	-1.58
236	-31.43	-1.60
237	-31.54	-1.61
238	-31.66	-1.62
239	-31.77	-1.63
240	-31.88	-1.65
241	-32.00	-1.66
242	-32.11	-1.67
243	-32.22	-1.68
244	-32.33	-1.70
245	-32.44	-1.71
246	-32.55	-1.72
247	-32.67	-1.73
248	-32.77	-1.75
249	-32.89	-1.76
250	-32.99	-1.77
251	-33.10	-1.78
252	-33.21	-1.80
253	-33.32	-1.81
254	-33.43	-1.82
255	-33.58	-1.84
256	-33.68	-1.85
257	-33.73	-1.86
258	-33.88	-1.87
259	-33.94	-1.89
260	-34.05	-1.90
261	-34.14	-1.91
262	-34.31	-1.92
263	-34.37	-1.94
264	-34.51	-1.95
265	-34.61	-1.96
266	-34.72	-1.98
267	-34.82	-1.99
268	-34.89	-2.00
269	-34.96	-2.01
270	-35.11	-2.03
271	-35.19	-2.04
272	-35.31	-2.05
273	-35.42	-2.07
274	-35.56	-2.08
275	-35.64	-2.09
276	-35.72	-2.11
277	-35.82	-2.12
278	-35.92	-2.13
279	-36.02	-2.15
280	-36.12	-2.16
281	-36.22	-2.17
282	-36.32	-2.18
283	-36.42	-2.20
284	-36.52	-2.21
285	-36.61	-2.22
286	-36.71	-2.24
287	-36.81	-2.25
